,name,rating,review,salaries,interviews,jobs,ctype_and_location
1991,Cummins,4.3,(4k),4k,15.6k,289,Industrial Machinery | Pune +116 other locations
1992,Publicis Sapient,3.2,(3.9k),3.9k,31.3k,700,IT Services & Consulting | Bengaluru +46 other locations
1993,Bank of America,4.1,(3.9k),3.9k,29.1k,293,Banking | Gurugram +35 other locations
1994,Alembic Pharmaceuticals,3.9,(3.9k),3.9k,15.4k,257,Pharma | Vadodara +188 other locations
1995,LG Electronics,3.9,(4.1k),4.1k,11.2k,262,Consumer Electronics & Appliances | Pune +300 other locations
1996,Hindalco Industries,4.2,(4.1k),4.1k,12.9k,309,Metals & Mining | Sambalpur +129 other locations
1997,Jindal Steel Limited,3.9,(4.1k),4.1k,15.8k,423,Iron & Steel | Angul +175 other locations
1998,State Street Corporation,3.5,(4.1k),4.1k,32.8k,292,Financial Services | Bengaluru +35 other locations
1999,Royal Enfield,4.2,(4.1k),4.1k,14.9k,203,Automobile | Chennai +378 other locations
2000,DCB Bank,3.8,(4k),4k,9.9k,232,Banking | Mumbai +347 other locations
2001,HDFC Ergo General Insurance,4.0,(4k),4k,12k,201,Insurance | Mumbai +328 other locations
2002,Tata Communications,3.9,(4k),4k,23.5k,304,Telecom | Pune +102 other locations
2003,John Deere,4.0,(4k),4k,15.4k,268,Industrial Machinery | Pune +154 other locations
2004,RBL Bank,3.5,(4k),4k,18.5k,242,Banking | Mumbai +291 other locations
2005,Cummins,4.3,(4k),4k,15.6k,289,Industrial Machinery | Pune +116 other locations
2006,Publicis Sapient,3.2,(3.9k),3.9k,31.3k,700,IT Services & Consulting | Bengaluru +46 other locations
2007,Bank of America,4.1,(3.9k),3.9k,29.1k,293,Banking | Gurugram +35 other locations
2008,Alembic Pharmaceuticals,3.9,(3.9k),3.9k,15.4k,257,Pharma | Vadodara +188 other locations
2009,Pidilite Industries,4.2,(3.9k),3.9k,11.6k,260,Chemicals | Mumbai +320 other locations
2010,LG Electronics,3.9,(4.1k),4.1k,11.2k,262,Consumer Electronics & Appliances | Pune +300 other locations
2011,Hindalco Industries,4.2,(4.1k),4.1k,12.9k,309,Metals & Mining | Sambalpur +129 other locations
2012,Jindal Steel Limited,3.9,(4.1k),4.1k,15.8k,423,Iron & Steel | Angul +175 other locations
2013,State Street Corporation,3.5,(4.1k),4.1k,32.8k,292,Financial Services | Bengaluru +35 other locations
2014,Royal Enfield,4.2,(4.1k),4.1k,14.9k,203,Automobile | Chennai +378 other locations
2015,DCB Bank,3.8,(4k),4k,9.9k,232,Banking | Mumbai +347 other locations
2016,HDFC Ergo General Insurance,4.0,(4k),4k,12k,201,Insurance | Mumbai +328 other locations
2017,Tata Communications,3.9,(4k),4k,23.5k,304,Telecom | Pune +102 other locations
2018,John Deere,4.0,(4k),4k,15.4k,268,Industrial Machinery | Pune +154 other locations
2019,RBL Bank,3.5,(4k),4k,18.5k,242,Banking | Mumbai +291 other locations
2020,Cummins,4.3,(4k),4k,15.6k,289,Industrial Machinery | Pune +116 other locations
2021,Publicis Sapient,3.2,(3.9k),3.9k,31.3k,700,IT Services & Consulting | Bengaluru +46 other locations
2022,Bank of America,4.1,(3.9k),3.9k,29.1k,293,Banking | Gurugram +35 other locations
2023,Alembic Pharmaceuticals,3.9,(3.9k),3.9k,15.4k,257,Pharma | Vadodara +188 other locations
2024,Pidilite Industries,4.2,(3.9k),3.9k,11.6k,260,Chemicals | Mumbai +320 other locations
2025,Oyo Rooms,3.0,(3.9k),3.9k,14.2k,258,Internet | Gurugram +121 other locations
2026,LG Electronics,3.9,(4.1k),4.1k,11.2k,262,Consumer Electronics & Appliances | Pune +300 other locations
2027,Hindalco Industries,4.2,(4.1k),4.1k,12.9k,309,Metals & Mining | Sambalpur +129 other locations
2028,Jindal Steel Limited,3.9,(4.1k),4.1k,15.8k,423,Iron & Steel | Angul +175 other locations
2029,State Street Corporation,3.5,(4.1k),4.1k,32.8k,292,Financial Services | Bengaluru +35 other locations
2030,Royal Enfield,4.2,(4.1k),4.1k,14.9k,203,Automobile | Chennai +378 other locations
2031,DCB Bank,3.8,(4k),4k,9.9k,232,Banking | Mumbai +347 other locations
2032,HDFC Ergo General Insurance,4.0,(4k),4k,12k,201,Insurance | Mumbai +328 other locations
2033,Tata Communications,3.9,(4k),4k,23.5k,304,Telecom | Pune +102 other locations
2034,John Deere,4.0,(4k),4k,15.4k,268,Industrial Machinery | Pune +154 other locations
2035,RBL Bank,3.5,(4k),4k,18.5k,242,Banking | Mumbai +291 other locations
2036,Cummins,4.3,(4k),4k,15.6k,289,Industrial Machinery | Pune +116 other locations
2037,Publicis Sapient,3.2,(3.9k),3.9k,31.3k,700,IT Services & Consulting | Bengaluru +46 other locations
2038,Bank of America,4.1,(3.9k),3.9k,29.1k,293,Banking | Gurugram +35 other locations
2039,Alembic Pharmaceuticals,3.9,(3.9k),3.9k,15.4k,257,Pharma | Vadodara +188 other locations
2040,Pidilite Industries,4.2,(3.9k),3.9k,11.6k,260,Chemicals | Mumbai +320 other locations
2041,Oyo Rooms,3.0,(3.9k),3.9k,14.2k,258,Internet | Gurugram +121 other locations
2042,Cloudnine Hospital,4.5,(3.9k),3.9k,3k,1.3k,Healthcare | Bengaluru +46 other locations
2043,LG Electronics,3.9,(4.1k),4.1k,11.2k,262,Consumer Electronics & Appliances | Pune +300 other locations
2044,Hindalco Industries,4.2,(4.1k),4.1k,12.9k,309,Metals & Mining | Sambalpur +129 other locations
2045,Jindal Steel Limited,3.9,(4.1k),4.1k,15.8k,423,Iron & Steel | Angul +175 other locations
2046,State Street Corporation,3.5,(4.1k),4.1k,32.8k,292,Financial Services | Bengaluru +35 other locations
2047,Royal Enfield,4.2,(4.1k),4.1k,14.9k,203,Automobile | Chennai +378 other locations
2048,DCB Bank,3.8,(4k),4k,9.9k,232,Banking | Mumbai +347 other locations
2049,HDFC Ergo General Insurance,4.0,(4k),4k,12k,201,Insurance | Mumbai +328 other locations
2050,Tata Communications,3.9,(4k),4k,23.5k,304,Telecom | Pune +102 other locations
2051,John Deere,4.0,(4k),4k,15.4k,268,Industrial Machinery | Pune +154 other locations
2052,RBL Bank,3.5,(4k),4k,18.5k,242,Banking | Mumbai +291 other locations
2053,Cummins,4.3,(4k),4k,15.6k,289,Industrial Machinery | Pune +116 other locations
2054,Publicis Sapient,3.2,(3.9k),3.9k,31.3k,700,IT Services & Consulting | Bengaluru +46 other locations
2055,Bank of America,4.1,(3.9k),3.9k,29.1k,293,Banking | Gurugram +35 other locations
2056,Alembic Pharmaceuticals,3.9,(3.9k),3.9k,15.4k,257,Pharma | Vadodara +188 other locations
2057,Pidilite Industries,4.2,(3.9k),3.9k,11.6k,260,Chemicals | Mumbai +320 other locations
2058,Oyo Rooms,3.0,(3.9k),3.9k,14.2k,258,Internet | Gurugram +121 other locations
2059,Cloudnine Hospital,4.5,(3.9k),3.9k,3k,1.3k,Healthcare | Bengaluru +46 other locations
2060,American Express,4.1,(3.8k),3.8k,25.4k,429,Financial Services | Gurugram +55 other locations
2061,LG Electronics,3.9,(4.1k),4.1k,11.2k,262,Consumer Electronics & Appliances | Pune +300 other locations
2062,Hindalco Industries,4.2,(4.1k),4.1k,12.9k,309,Metals & Mining | Sambalpur +129 other locations
2063,Jindal Steel Limited,3.9,(4.1k),4.1k,15.8k,423,Iron & Steel | Angul +175 other locations
2064,State Street Corporation,3.5,(4.1k),4.1k,32.8k,292,Financial Services | Bengaluru +35 other locations
2065,Royal Enfield,4.2,(4.1k),4.1k,14.9k,203,Automobile | Chennai +378 other locations
2066,DCB Bank,3.8,(4k),4k,9.9k,232,Banking | Mumbai +347 other locations
2067,HDFC Ergo General Insurance,4.0,(4k),4k,12k,201,Insurance | Mumbai +328 other locations
2068,Tata Communications,3.9,(4k),4k,23.5k,304,Telecom | Pune +102 other locations
2069,John Deere,4.0,(4k),4k,15.4k,268,Industrial Machinery | Pune +154 other locations
2070,RBL Bank,3.5,(4k),4k,18.5k,242,Banking | Mumbai +291 other locations
2071,Cummins,4.3,(4k),4k,15.6k,289,Industrial Machinery | Pune +116 other locations
2072,Publicis Sapient,3.2,(3.9k),3.9k,31.3k,700,IT Services & Consulting | Bengaluru +46 other locations
2073,Bank of America,4.1,(3.9k),3.9k,29.1k,293,Banking | Gurugram +35 other locations
2074,Alembic Pharmaceuticals,3.9,(3.9k),3.9k,15.4k,257,Pharma | Vadodara +188 other locations
2075,Pidilite Industries,4.2,(3.9k),3.9k,11.6k,260,Chemicals | Mumbai +320 other locations
2076,Oyo Rooms,3.0,(3.9k),3.9k,14.2k,258,Internet | Gurugram +121 other locations
2077,Cloudnine Hospital,4.5,(3.9k),3.9k,3k,1.3k,Healthcare | Bengaluru +46 other locations
2078,American Express,4.1,(3.8k),3.8k,25.4k,429,Financial Services | Gurugram +55 other locations
2079,Aditya Birla Sun Life Insurance,4.0,(3.8k),3.8k,10.1k,183,Insurance | Mumbai +499 other locations
2080,LG Electronics,3.9,(4.1k),4.1k,11.2k,262,Consumer Electronics & Appliances | Pune +300 other locations
2081,Hindalco Industries,4.2,(4.1k),4.1k,12.9k,309,Metals & Mining | Sambalpur +129 other locations
2082,Jindal Steel Limited,3.9,(4.1k),4.1k,15.8k,423,Iron & Steel | Angul +175 other locations
2083,State Street Corporation,3.5,(4.1k),4.1k,32.8k,292,Financial Services | Bengaluru +35 other locations
2084,Royal Enfield,4.2,(4.1k),4.1k,14.9k,203,Automobile | Chennai +378 other locations
2085,DCB Bank,3.8,(4k),4k,9.9k,232,Banking | Mumbai +347 other locations
2086,HDFC Ergo General Insurance,4.0,(4k),4k,12k,201,Insurance | Mumbai +328 other locations
2087,Tata Communications,3.9,(4k),4k,23.5k,304,Telecom | Pune +102 other locations
2088,John Deere,4.0,(4k),4k,15.4k,268,Industrial Machinery | Pune +154 other locations
2089,RBL Bank,3.5,(4k),4k,18.5k,242,Banking | Mumbai +291 other locations
2090,Cummins,4.3,(4k),4k,15.6k,289,Industrial Machinery | Pune +116 other locations
2091,Publicis Sapient,3.2,(3.9k),3.9k,31.3k,700,IT Services & Consulting | Bengaluru +46 other locations
2092,Bank of America,4.1,(3.9k),3.9k,29.1k,293,Banking | Gurugram +35 other locations
2093,Alembic Pharmaceuticals,3.9,(3.9k),3.9k,15.4k,257,Pharma | Vadodara +188 other locations
2094,Pidilite Industries,4.2,(3.9k),3.9k,11.6k,260,Chemicals | Mumbai +320 other locations
2095,Oyo Rooms,3.0,(3.9k),3.9k,14.2k,258,Internet | Gurugram +121 other locations
2096,Cloudnine Hospital,4.5,(3.9k),3.9k,3k,1.3k,Healthcare | Bengaluru +46 other locations
2097,American Express,4.1,(3.8k),3.8k,25.4k,429,Financial Services | Gurugram +55 other locations
2098,Aditya Birla Sun Life Insurance,4.0,(3.8k),3.8k,10.1k,183,Insurance | Mumbai +499 other locations
2099,Grasim Industries,4.0,(3.8k),3.8k,13k,283,Building Material | Bharuch +250 other locations
2100,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2101,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2102,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2103,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2104,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2105,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2106,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
