,name,rating,review,salaries,interviews,jobs,ctype_and_location
2205,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2206,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2207,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2208,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2209,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2210,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2211,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2212,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
2213,Viatris,4.1,(3.8k),3.8k,14.1k,168,Pharma | Hyderabad +80 other locations
2214,PVR INOX,3.9,(3.8k),3.8k,9.5k,218,Media & Entertainment | New Delhi +149 other locations
2215,Escorts Kubota Limited,4.0,(3.8k),3.8k,13.5k,304,Automobile | Faridabad +158 other locations
2216,Maersk,4.0,(3.7k),3.7k,19.2k,251,Logistics | Chennai +49 other locations
2217,KPIT Technologies,2.9,(3.7k),3.7k,23.4k,347,Software Product | Pune +43 other locations
2218,Synechron,3.4,(3.7k),3.7k,28.5k,407,IT Services & Consulting | Pune +33 other locations
2219,Birlasoft,3.5,(3.7k),3.7k,30k,317,IT Services & Consulting | Pune +49 other locations
2220,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2221,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2222,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2223,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2224,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2225,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2226,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2227,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
2228,Viatris,4.1,(3.8k),3.8k,14.1k,168,Pharma | Hyderabad +80 other locations
2229,PVR INOX,3.9,(3.8k),3.8k,9.5k,218,Media & Entertainment | New Delhi +149 other locations
2230,Escorts Kubota Limited,4.0,(3.8k),3.8k,13.5k,304,Automobile | Faridabad +158 other locations
2231,Maersk,4.0,(3.7k),3.7k,19.2k,251,Logistics | Chennai +49 other locations
2232,KPIT Technologies,2.9,(3.7k),3.7k,23.4k,347,Software Product | Pune +43 other locations
2233,Synechron,3.4,(3.7k),3.7k,28.5k,407,IT Services & Consulting | Pune +33 other locations
2234,Birlasoft,3.5,(3.7k),3.7k,30k,317,IT Services & Consulting | Pune +49 other locations
2235,JK Cement,4.0,(3.7k),3.7k,9.9k,343,Building Material | New Delhi +334 other locations
2236,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2237,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2238,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2239,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2240,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2241,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2242,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2243,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
